Title,Genre_1,Genre_2,Genre_3,Num_Tracks,Avg_Valence,Avg_Danceability,Avg_Energy,Avg_Key,Avg_Loudness,Avg_Mode,Avg_Speechiness,Avg_Acousticness,Avg_Instrumentallness,Avg_Liveness,Avg_Tempo,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hairdresser's Husband,Comedy,Drama,Romance,1,0.32,0.578,0.266,5,-13.454,0,0.0365,0.73,0,0.271,98.571,Saalouny El Nas ,Fairuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marked for Death,Action,Adventure,Crime,6,0.652,0.782,0.596,6.166666667,-12.29216667,1,0.12255,0.047053167,0.002767905,0.125616667,114.509,En La Casa ,Mellow Man Ace ,Roots and Culture ,Shabba Ranks ,Domino ,Masters of Reality ,The Shadow of Death ,Del Jel. featuring Papa Juggy ,I Wanna Do Something Freaky To You ,Kenyatta ,I Joke But I Don't Play ,Tone Loc ,John Crow ,Jimmy Cliff. Steven Seagal and the Oneness Band ,Steppin' Razor ,Peter Tosh ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Matter of Degrees,Comedy,N/A,N/A,17,0.558764706,0.449823529,0.576682353,5.294117647,-11.90141176,0.764705882,0.063352941,0.196893797,0.173342588,0.194235294,132.0481765,Escape from Reality ,Positively Black ,Factory Belt ,Uncle Tupelo ,I Dig Your Mind ,The Ophelias,Cry ,Pere Ubu ,Oh (No Sense at All) ,Thelonious Monster ,Michael Jordan ,Thelonious Monster ,Max and Wells ,fIREHOSE ,Velvet Monkey Theme ,The Velvet Monkeys ,La Rosita ,Coleman Hawkins ,Matter of Degrees ,Throwing Muses ,Where Is My Mind ,Pixies (as The Pixies) ,Homer ,Miracle Legion ,Pulling Touch ,Poi Dog Pondering ,Grow Wild ,Hugo Largo ,Need Some ,Jerry's Kids ,The Anchor ,Minutemen (as The Minutemen) ,Little Melonae ,John Coltrane ,Liz Beth ,Eleventh Dream Day ,Requiem in D Minor ,Concentus musicus Wien Direction: Nikolaus Harnoncourt ,Blue Feeling ,Sonny Terry & Brownie McGhee ,Mallo Cup ,The Lemonheads ,Stove ,The Lemonheads ,Something to Do ,Yo La Tengo ,Velvet Monkeys Theme (Reprise) ,The Velvet Monkeys ,Alabama Bound ,Tom Rush ,Tell Me When It's Over ,Dream Syndicate ,Pomp & Circumstance ,Royal Scottish National Orchestra (as The Scottish National Orchestra) ,Academy Fight Song ,Miracle Legion ,Evergreen Memorial Drive ,Nova Mob ,History Lesson - Part II ,Minutemen (as The Minutemen) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Belle,Action,Drama,War,2,0.24915,0.246,0.09085,4.5,-15.985,1,0.03215,0.968,0.0012335,0.178,73.1125,I Know Why (and So Do You) ,Glenn Miller and His Orchestra,Danny Boy ,Harry Connick Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men Don't Leave,Comedy,Drama,N/A,3,0.64,0.555666667,0.444333333,4,-13.34366667,0,0.035266667,0.680666667,0.016366667,0.229333333,123.3333333,RAWHIDE ,Frankie Laine ,IF I DIDN'T CARE ,The Ink Spots ,TELL ME ,Stevie Ray Vaughan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men at Work,Action,Comedy,Crime,2,0.605,0.709,0.661,0.5,-13.9805,1,0.2365,0.004997,0.8795,0.06915,172.9025,Wear You to the Ball ,UB40 Publisher The Sparta Florida Music Group ,Super Cool ,Sly & Robbie (as Sly and Robbie) Publisher Island Music. Inc./IXAT Music ,Big Pink House ,Tyrants in Therapy Publisher Terry Shaddick Music. Tyranny Ink Music and Von Gogh's Ear Music ,Feeling Good ,Pressure Drop Publisher Big World Music and Warner/Chappell ,Move Something ,2 Live Crew Publisher Pac Jam Publishing ,Back to Back ,Blood Brothers Publisher Big World Music and Warner/Chappell ,RPG Blues ,Kent Richards. Tymm Rocco and Bobby Gabriele Publisher LA Musicworks,Pump Up the Jam ,Technotronic (as Technotronics) Publisher ColGems/EMI Music Publishing. Inc. ,Take Heed ,Black Uhuru Publisher Warner/Chappell ,Here and Beyond ,Sly & Robbie (as Sly and Robbie) Publisher Island Music. Inc./IXAT Music ,Truthful ,Blood Brothers Publisher Big World Music and Warner/Chappell ,Reggae Ambassador ,Third World Publisher Worler's Music/PRI Music. Inc. ,Give a Little Love ,Ziggy Marley and the Melody Makers Publisher Warner/Chappell. Realsongs and BMG Songs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaids,Comedy,Drama,Romance,15,0.784133333,0.6564,0.534133333,3.933333333,-10.1156,0.866666667,0.066273333,0.575866667,0.042817132,0.166073333,127.8698,Dominique ,Soeur Sourire ,Fever ,Peggy Lee ,Blame It on the Bossa Nova ,Eydie Gormé (as Edyie Gorme) ,Baby Workout ,Jackie Wilson ,Johnny Angel ,Shelley Fabares ,Big Girls Don't Cry ,The Four Seasons ,I've Found a New Baby ,Django Reinhardt ,The Shoop Shoop Song (It's in His Kiss) ,Betty Everett ,Just One Look ,Doris Troy ,Sugar Shack ,Jimmy Gilmer & The Fireballs ,You've Really Got a Hold on Me ,The Miracles ,Mambo Italiano ,Rosemary Clooney ,It's My Party ,Lesley Gore ,Sleepwalk ,Santo & Johnny ,Stubborn Kind of Fellow ,Marvin Gaye ,If You Wanna Be Happy ,Jimmy Soul ,Love Is Strange ,Mickey & Sylvia ,The Shoop Shoop Song (It's in His Kiss) ,Cher ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Blues,Comedy,Crime,Drama,5,0.7072,0.6202,0.5306,4,-11.7594,1,0.05212,0.45676,0.30831353,0.15694,109.1188,BOUKE ,Lionel Benjamin et Les Freres DeJean ,DON'T HURT MY FEELINGS ,Freddie McGregor ,THE ISRAELITES ,Desmond Dekker & The Aces ,SOMEWHERE TONIGHT ,Highway 101 ,LAZY LOVE AFFAIR ,Gerald Nelson ,LA SUBIENDA ,Anibal Bravo y su Orquestra ,BANANA (Bobine) ,The Rebels ,SWEET ANGEL ,Chris Weber & Hollywood Rose ,YOU AGAIN ,The Forester Sisters ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miller's Crossing,Crime,Drama,Thriller,1,0.38,0.345,0.0471,0,-27.41,0,0.0625,0.996,0.865,0.409,70.586,Come Back To Erin ,John McCormack ,Ghirlandeina. Veta Mia ,Mike Starr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misery,Drama,Thriller,N/A,1,0.122,0.232,0.122,11,-22.674,0,0.0387,0.988,0.887,0.103,184.033,Shotgun ,Jr. Walker and the All Stars (as Junior Walker & The Allstars) ,Tchaikovsky Piano Concerto #1 ,Liberace ,Moonlight Sonata ,Liberace ,I'll Be Seeing You ,Liberace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortal Sins,Crime,Mystery,Thriller,8,0.69125,0.559875,0.568125,4.375,-9.583875,0.875,0.040425,0.5859875,0.284889224,0.20665,123.4875,Trouble In Paradise ,The Crests ,Wiggle Wobble ,Les Cooper ,Six Nights A Week ,The Crests ,Mimi's Theme ,Speedy Politi ,I Surrender All ,Jimmy Ellis (as Orion) ,Love Came To Me ,Dion DiMucci (as Dion) ,Oogum Boogum ,Brenton Wood ,I Need You ,Elmore James ,Funky Broadway ,Dyke and the Blazers ,Land Of 1000 Dances ,Chris Kenner ,No Pity In The Naked City ,Jackie Wilson ,What Manner Of Man ,Willie May Ford Smith (as Willie Mae Ford Smith) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. & Mrs. Bridge,Drama,N/A,N/A,5,0.5775,0.4986,0.2676,4.4,-14.171,0.8,0.09108,0.953,0.43124,0.1842,121.6032,Wah! Hoo! ,Janet Gaynor and Fredric March (from A Star Is Born (1937)),Stouthearted Men ,Nelson Eddy ,Jeepers Creepers ,Ethel Waters and Orchestra ,Take Me. I'm Yours ,Alison Sneegas,Boogie Woogie ,Tommy Dorsey & His Orchestra ,Ah! Sweet Mystery of Life ,Jeanette MacDonald and Nelson Eddy ,Holiday for Strings ,David Rose and His Orchestra ,A String of Pearls ,Glenn Miller and His Orchestra (as Glenn Miller & His Orchestra) ,The Rhumba Jumps ,Glenn Miller and His Orchestra (as Glenn Miller & His Orchestra). Marion Huston. Tex Beneke ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Destiny,Comedy,Fantasy,Romance,2,0.564,0.5915,0.391,1.5,-9.086,1,0.03305,0.46891,0.365,0.0911,114.374,Gimme Some Lovin' ,The Spencer Davis Group (as Spencer Davis) ,Only You (And You Alone) ,The Platters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Blue Heaven,Comedy,Crime,N/A,3,0.638,0.395,0.673666667,5.666666667,-7.965666667,1,0.0729,0.753,0.000676207,0.165033333,108.2833333,My Blue Heaven ,Fats Domino ,Sufin' USA ,The Beach Boys ,Stranger In Paradise ,Tony Bennett ,I Can't Help Myself (Sugar Pie Honey Bunch) ,Billy Hill ,The Boy From New York City ,The Ad Libs ,The Star-Srangled Banner ,The United States Marine Band ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natural History of Parking Lots,Drama,N/A,N/A,1,0.616,0.505,0.701,0,-12.031,1,0.0349,0.0148,0.000405,0.406,164.684,Tail Dragger ,Howlin' Wolf (as Howling Wolf) The Real Folk Blues 1987 MCA Records,Never Let Me Down Again ,Depeche Mode Music for the Masses 1987 Site Record Company,Los Angeles ,X Los Angeles 1982 I.R.S. Records,Mexican Radio ,Wall of Voodoo ,Disappointed ,Morrissey 1988 Sire Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navy Seals,Action,Adventure,Thriller,7,0.519142857,0.531285714,0.796428571,6.857142857,-8.909714286,0.571428571,0.0484,0.129854143,0.000275213,0.244428571,118.3857143,Tempt Me (If You Want To) ,Lisa Hartman ,Wounded Warrior ,Vicki Thomas,Strike Like Lightning ,Mr. Big ,The Boys Are Back in Town ,Bon Jovi ,Hangin' on My Hip ,Lou Gramm ,Shadows ,Mr. Big ,Try ,Blue Rodeo ,The Dragon ,Gowan ,Hardline ,Richie Havens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot + Blue: A Tribute to Cole Porter,Music,N/A,N/A,12,0.431158333,0.49825,0.5339,6.25,-11.53633333,0.75,0.053008333,0.33550175,0.077959805,0.124325,122.8044167,Don't Fence Me In ,David Byrne ,I've Got You Under My Skin ,Neneh Cherry ,From This Moment On ,Jimmy Somerville ,After You. Who? ,Jody Watley ,Begin The Beguine ,Salif Keïta ,Too Darn Hot ,Erasure ,You Do Something To Me ,Sinéad O'Connor ,I Get A Kick Out Of You ,Jungle Brothers (as The Jungle Brothers) ,In The Still Of The Night ,Neville Brothers (as The Neville Brothers) ,So In Love ,k.d. lang ,I Love Paris ,Les Négresses Vertes,Do I Love You ,Aztec Camera ,Well. Did You Evah! ,Debbie Harry & Iggy Pop ,Down In The Depths ,Lisa Stansfield ,Miss Otis Regrets/ Just One Of Those Things ,Kirsty MacColl & The Pogues ,It's Alright With Me ,Tom Waits ,Night And Day ,U2 ,Ev'ry Time We Say Goodbye ,Annie Lennox ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Angel,Horror,N/A,N/A,1,0.906,0.667,0.828,2,-6.84,0,0.0424,0.827,0.00136,0.336,112.252,CAN'T TAKE IT ANYMORE ,Rebel Faction ,DISPOSITION ,Jon Cells,GOLD AND DIAMONDS ,DV8,STEAL YOUR HEART AWAY ,DV8,SIRENS BURNIN' ,Screamin' Jay Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightbreed,Action,Fantasy,Horror,1,0.733,0.575,0.629,0,-13.798,1,0.0376,0.127,9.76E-05,0.1,122.606,Skin ,Oingo Boingo,Johnny Get Angry ,Anne Bobby (Director's Cut only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
